SURF	Chan	Chip	Ant	Pol	Peak	RMS	mv/count
10	1	4	34	V	382.518	24.5132	0.923726
10	2	1	36	V	327.494	24.2533	1.07893
10	2	2	36	V	352.048	21.0575	1.00367
10	2	3	36	V	351.823	21.4612	1.00432
10	2	4	36	V	361.215	21.4755	0.978205
10	3	1	38	V	303.68	16.4067	1.16354
10	3	2	38	V	319.863	20.0072	1.10467
10	3	3	38	V	318.25	20.5792	1.11027
10	3	4	38	V	337.004	16.198	1.04848
10	4	1	40	V	305.693	21.3885	1.15587
10	4	2	40	V	330.697	22.2697	1.06848
10	4	3	40	V	327.331	22.8107	1.07947
10	4	4	40	V	348.325	22.9021	1.0144
10	5	1	34	H	513.149	27.1556	1.07383
10	5	2	34	H	546.792	27.6943	1.00776
10	5	3	34	H	544.882	29.1804	1.01129
10	5	4	34	H	574.04	29.714	0.959921
10	6	1	36	H	477.484	21.9321	1.15403
10	6	2	36	H	517.511	24.1723	1.06478
10	6	3	36	H	509.272	23.1157	1.082
10	6	4	36	H	539.684	24.0669	1.02103
10	7	1	38	H	515.861	32.5113	1.06818
10	7	2	38	H	558.632	25.3267	0.986398
10	7	3	38	H	555.088	24.7434	0.992695
10	7	4	38	H	589.182	28.342	0.935251
10	8	1	40	H	482.078	19.9192	1.14304
10	8	2	40	H	513.042	21.834	1.07405
10	8	3	40	H	507.629	23.5976	1.0855
10	8	4	40	H	541.05	22.5555	1.01845
